Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,647000000,721000000,750000000,871000000,0
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84824654481.7249
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72356176470.5882
GDP (current US$),NY.GDP.MKTP.CD,Bahamas,BHS,13016200000,9958200000,11368900000,13136400000,14338500000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,40446808510.6383,35837632978.7234,40840212765.9574,46680398936.1702,46079867021.2766
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,351231654603.692,373979442362.193,416271647911.014,460131688909.301,437415331040.994
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,5788288000,5168344450,5275242050,6257303500,6720733200
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,71857382745.6066
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,536726344405.489,529694473501.791,598494036474.409,593438820508.173,644782756682.756
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2388300000,2042850000,2420550000,2846700000,3066850000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,14391686309.033,15651545208.8783,17690083519.9323,17401746309.2655,19676049075.7011
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,7423465000,6887147000,7286607000,7827980000,8141700000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,0
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,45135398008.8166
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27514782476.0406
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,19396084498.0084
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,0,0,0,0,0
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15128292980.8638
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,102407653020.606
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2642161668.85211
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,2533819406.4916
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984
